Scenario,AI size,Level reached,Hitpoints
Test01,10,7,0
Test01,10,9,0
Test01,10,9,0
Test01,10,7,0
Test01,10,8,0
Test01,10,7,0
Test01,10,9,0
Test01,10,8,0
Test01,10,7,0
Test01,10,10,0
Test01,10,7,0
Test01,10,9,0
Test01,10,9,0
Test01,10,7,0
Test01,10,10,2
Test01,10,8,0
Test01,10,10,1
Test01,10,7,0
Test01,10,9,0
Test01,10,9,0
Test01,10,7,0
Test01,10,8,0
Test01,10,8,0
Test01,10,9,0
Test01,10,10,1
Test01,10,8,0
Test01,10,9,0
Test01,10,7,0
Test01,10,9,0
Test01,10,8,0
Test01,10,9,0
Test01,10,9,0
Test01,10,10,4
Test01,10,9,0
Test01,10,10,3
Test01,10,9,0
Test01,10,10,1
Test01,10,10,0
Test01,10,9,0
Test01,10,10,3
Test01,10,9,0
Test01,10,8,0
Test01,10,8,0
Test01,10,10,0
Test01,10,7,0
Test01,10,10,3
Test01,10,7,0
Test01,10,9,0
Test01,10,10,3
Test01,10,10,5
Test01,15,8,0
Test01,15,10,2
Test01,15,10,2
Test01,15,8,0
Test01,15,9,0
Test01,15,10,0
Test01,15,10,0
Test01,15,10,0
Test01,15,7,0
Test01,15,10,0
Test01,15,8,0
Test01,15,9,0
Test01,15,7,0
Test01,15,9,0
Test01,15,10,0
Test01,15,8,0
Test01,15,9,0
Test01,15,10,0
Test01,15,9,0
Test01,15,10,6
Test01,15,10,0
Test01,15,10,3
Test01,15,9,0
Test01,15,10,0
Test01,15,8,0
Test01,15,10,2
Test01,15,10,3
Test01,15,10,2
Test01,15,8,0
Test01,15,10,0
Test01,15,8,0
Test01,15,9,0
Test01,15,10,3
Test01,15,10,0
Test01,15,9,0
Test01,15,10,2
Test01,15,10,3
Test01,15,10,3
Test01,15,10,1
Test01,15,10,0
Test01,15,9,0
Test01,15,10,3
Test01,15,10,4
Test01,15,10,0
Test01,15,10,2
Test01,15,10,3
Test01,15,8,0
Test01,15,10,1
Test01,15,10,0
Test01,15,10,1
Test01,20,10,3
Test01,20,10,4
Test01,20,10,3
Test01,20,7,0
Test01,20,9,0
Test01,20,10,0
Test01,20,10,0
Test01,20,10,5
Test01,20,9,0
Test01,20,10,0
Test01,20,8,0
Test01,20,8,0
Test01,20,10,3
Test01,20,10,4
Test01,20,10,3
Test01,20,10,5
Test01,20,10,0
Test01,20,10,6
Test01,20,10,2
Test01,20,10,0
Test01,20,10,3
Test01,20,10,4
Test01,20,10,4
Test01,20,10,4
Test01,20,9,0
Test01,20,10,3
Test01,20,9,0
Test01,20,10,3
Test01,20,10,5
Test01,20,10,0
Test01,20,9,0
Test01,20,10,4
Test01,20,10,0
Test01,20,10,0
Test01,20,10,0
Test01,20,8,0
Test01,20,10,0
Test01,20,10,3
Test01,20,10,2
Test01,20,10,0
Test01,20,10,2
Test01,20,9,0
Test01,20,10,3
Test01,20,10,4
Test01,20,10,2
Test01,20,10,4
Test01,20,10,4
Test01,20,10,0
Test01,20,10,3
Test01,20,10,0
Test02,10,6,0
Test02,10,6,0
Test02,10,5,0
Test02,10,5,0
Test02,10,6,0
Test02,10,6,0
Test02,10,6,0
Test02,10,6,0
Test02,10,6,0
Test02,10,6,0
Test02,10,5,0
Test02,10,5,0
Test02,10,5,0
Test02,10,5,0
Test02,10,5,0
Test02,10,6,0
Test02,10,5,0
Test02,10,5,0
Test02,10,6,0
Test02,10,6,0
Test02,10,5,0
Test02,10,7,0
Test02,10,6,0
Test02,10,5,0
Test02,10,5,0
Test02,10,6,0
Test02,10,5,0
Test02,10,6,0
Test02,10,5,0
Test02,10,5,0
Test02,10,5,0
Test02,10,6,0
Test02,10,5,0
Test02,10,7,0
Test02,10,5,0
Test02,10,5,0
Test02,10,6,0
Test02,10,6,0
Test02,10,5,0
Test02,10,6,0
Test02,10,5,0
Test02,10,5,0
Test02,10,5,0
Test02,10,6,0
Test02,10,6,0
Test02,10,5,0
Test02,10,5,0
Test02,10,6,0
Test02,10,6,0
Test02,10,6,0
Test02,15,6,0
Test02,15,6,0
Test02,15,5,0
Test02,15,5,0
Test02,15,6,0
Test02,15,6,0
Test02,15,6,0
Test02,15,6,0
Test02,15,6,0
Test02,15,6,0
Test02,15,6,0
Test02,15,6,0
Test02,15,6,0
Test02,15,6,0
Test02,15,6,0
Test02,15,7,0
Test02,15,7,0
Test02,15,6,0
Test02,15,5,0
Test02,15,6,0
Test02,15,7,0
Test02,15,6,0
Test02,15,6,0
Test02,15,7,0
Test02,15,6,0
Test02,15,6,0
Test02,15,6,0
Test02,15,7,0
Test02,15,6,0
Test02,15,6,0
Test02,15,6,0
Test02,15,6,0
Test02,15,6,0
Test02,15,6,0
Test02,15,5,0
Test02,15,6,0
Test02,15,5,0
Test02,15,6,0
Test02,15,6,0
Test02,15,5,0
Test02,15,6,0
Test02,15,6,0
Test02,15,6,0
Test02,15,6,0
Test02,15,6,0
Test02,15,6,0
Test02,15,5,0
Test02,15,5,0
Test02,15,6,0
Test02,15,6,0
Test02,20,6,0
Test02,20,6,0
Test02,20,6,0
Test02,20,5,0
Test02,20,5,0
Test02,20,7,0
Test02,20,7,0
Test02,20,6,0
Test02,20,7,0
Test02,20,6,0
Test02,20,5,0
Test02,20,6,0
Test02,20,6,0
Test02,20,7,0
Test02,20,5,0
Test02,20,7,0
Test02,20,6,0
Test02,20,6,0
Test02,20,6,0
Test02,20,6,0
Test02,20,6,0
Test02,20,6,0
Test02,20,6,0
Test02,20,6,0
Test02,20,7,0
Test02,20,7,0
Test02,20,6,0
Test02,20,6,0
Test02,20,6,0
Test02,20,6,0
Test02,20,6,0
Test02,20,6,0
Test02,20,6,0
Test02,20,6,0
Test02,20,5,0
Test02,20,6,0
Test02,20,7,0
Test02,20,6,0
Test02,20,5,0
Test02,20,5,0
Test02,20,7,0
Test02,20,6,0
Test02,20,7,0
Test02,20,6,0
Test02,20,5,0
Test02,20,6,0
Test02,20,6,0
Test02,20,6,0
Test02,20,6,0
Test02,20,6,0
Test03,10,4,0
Test03,10,4,0
Test03,10,5,0
Test03,10,4,0
Test03,10,4,0
Test03,10,4,0
Test03,10,4,0
Test03,10,4,0
Test03,10,4,0
Test03,10,5,0
Test03,10,4,0
Test03,10,4,0
Test03,10,5,0
Test03,10,5,0
Test03,10,4,0
