Scenario,Fecha,Level Reached,Hitpoints
1,19/07/2016 18:46:23,10,
1,19/07/2016 18:50:06,10,
1,19/07/2016 18:51:35,10,
1,19/07/2016 18:54:11,10,
1,19/07/2016 18:54:43,10,
1,19/07/2016 18:57:50,10,
1,19/07/2016 18:58:21,9,
1,19/07/2016 20:24:52,10,
1,19/07/2016 20:41:55,9,0
1,19/07/2016 20:48:51,10,5
1,19/07/2016 20:48:51,10,7
1,19/07/2016 21:00:02,9,0
1,19/07/2016 22:08:53,9,0
1,19/07/2016 23:06:40,10,4
1,19/07/2016 23:25:03,10,9
1,20/07/2016 20:40:21,10,2
1,20/07/2016 20:42:02,10,1
1,20/07/2016 20:42:38,10,4
1,20/07/2016 20:57:36,6,0
1,20/07/2016 22:23:37,6,0
1,21/07/2016 14:42:10,4,0
1,21/07/2016 18:41:34,9,0
1,21/07/2016 18:52:13,10,1
1,22/07/2016 21:34:24,9,0
1,22/07/2016 23:29:43,10,5
1,23/07/2016 19:12:30,9,0
1,23/07/2016 21:13:57,10,5
1,24/07/2016 01:13:11,9,0
1,25/07/2016 00:25:23,10,5
1,25/07/2016 15:15:08,7,0
1,25/07/2016 20:10:24,8,0
1,25/07/2016 21:03:03,9,0
1,26/07/2016 13:54:03,10,5
2,19/07/2016 18:49:00,6,
2,19/07/2016 18:49:12,6,
2,19/07/2016 18:49:53,5,
2,19/07/2016 18:51:45,4,
2,19/07/2016 18:56:43,6,
2,19/07/2016 18:56:45,5,
2,19/07/2016 19:08:43,6,
2,19/07/2016 20:39:39,5,0
2,19/07/2016 20:44:36,6,0
2,19/07/2016 21:02:32,6,0
2,19/07/2016 22:13:27,7,0
2,19/07/2016 23:02:04,6,0
2,19/07/2016 23:05:17,5,0
2,20/07/2016 20:38:06,5,0
2,20/07/2016 20:43:20,7,0
2,20/07/2016 20:47:05,5,0
2,20/07/2016 20:59:16,6,0
2,20/07/2016 22:24:37,6,0
2,20/07/2016 23:14:31,5,0
2,21/07/2016 18:44:14,7,0
2,21/07/2016 18:45:15,5,0
2,22/07/2016 23:22:33,6,0
2,23/07/2016 21:06:13,6,0
2,24/07/2016 01:21:18,6,0
2,24/07/2016 20:13:20,7,0
2,24/07/2016 20:29:57,6,0
2,25/07/2016 00:29:15,6,0
2,25/07/2016 15:17:31,5,0
2,25/07/2016 21:02:48,6,0
2,26/07/2016 13:48:51,6,0
2,28/07/2016 15:04:17,7,0
3,19/07/2016 18:51:18,2,
3,19/07/2016 18:51:53,5,
3,19/07/2016 18:53:36,6,
3,19/07/2016 18:54:47,5,
3,19/07/2016 18:59:06,5,
3,19/07/2016 19:03:07,5,
3,19/07/2016 19:51:51,3,
3,19/07/2016 20:42:22,6,0
3,19/07/2016 20:44:20,5,0
3,19/07/2016 21:04:01,4,0
3,19/07/2016 22:10:57,3,0
3,19/07/2016 22:57:49,6,0
3,19/07/2016 23:19:29,5,0
3,20/07/2016 20:37:25,5,0
3,20/07/2016 20:43:30,5,0
3,20/07/2016 20:45:38,5,0
3,20/07/2016 21:00:31,3,0
3,20/07/2016 22:23:37,4,0
3,21/07/2016 18:42:51,4,0
3,21/07/2016 18:47:15,5,0
3,22/07/2016 13:16:04,2,0
3,22/07/2016 21:41:24,5,0
3,22/07/2016 23:16:19,5,0
3,23/07/2016 18:46:37,6,0
3,23/07/2016 21:10:49,6,0
3,24/07/2016 01:24:06,6,0
3,24/07/2016 20:40:51,3,0
3,25/07/2016 01:39:00,3,0
3,25/07/2016 15:40:38,3,0
3,25/07/2016 21:07:48,4,0
3,27/07/2016 18:02:24,4,0
